job title,company name,location,skills,links
Marketing Executive,Happy Joe's Pizza & Ice Cream - Middle East -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Market Research · Business Administration · Restaurant,https://wuzzuf.net/jobs/p/VgWpVbhh9tO8-Marketing-Executive-Happy-Joes-Pizza-Ice-Cream---Middle-East-Giza-Egypt?o=15&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Software Brand Manager -Alexandria,Caduceus Lane -,"San Stefano, Alexandria, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Business Management · Restaurant management software · Project Management · Management · Marketing · Software · Product · Microsoft Office,https://wuzzuf.net/jobs/p/vNbIk8GXgNPz-Software-Brand-Manager--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=16&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Sales Executive (Fresh Graduates),Bonbell -,"Nasr City, Cairo, Egypt ","Full TimeEntry Level · 1 - 2 Yrs of Exp · Sales/Retail · Sales · FMCG · Software · SaaS · Hotel, Restaurant, Cafe · Sales Target · Computer Science · Communication skills",https://wuzzuf.net/jobs/p/OH7roTzAklNB-Sales-Executive-Fresh-Graduates-Bonbell-Cairo-Egypt?o=17&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Store Manager - Cafe,E3mel Business for Financial & Managerial Consultancy -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · business · Communication · Management · Restaurants · Retail · Sales · sales skills,https://wuzzuf.net/jobs/p/7SurbbBO8Lwr-Store-Manager---Cafe-E3mel-Business-for-Financial-Managerial-Consultancy-Cairo-Egypt?o=18&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Sales Coordinator,Mamiba  -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Hospitality/Hotels/Food Services · Sales/Retail · Customer Service · English · Interpersonal skills · Sales · office · Microsoft Office · FMCG,https://wuzzuf.net/jobs/p/xS7rRHsPBZRf-Sales-Coordinator-Mamiba-Giza-Egypt?o=19&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
