job title,company name,location,skills,links
Accounting Manager,Lavita Real Estate -,"Nasr City, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · males_preferred · Accounting/Finance · Accounting · Accounting Manager · Real Estate · Finance · Financial Analysis · Financial Management · Manager,https://wuzzuf.net/jobs/p/ipRmackS3DDK-Accounting-Manager-Lavita-Real-Estate-Cairo-Egypt?o=15&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting & Financial Associate,Profolio Consulting -,"Kuwait City, Kuwait ",Full TimeExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounting · Communication · business · Finance · Financial Analysis · economic · Financial Management · Auditing · advisory,https://wuzzuf.net/jobs/p/xf9wECDuWOZ0-Accounting-Financial-Associate-Profolio-Consulting-Kuwait-City-Kuwait?o=16&l=sp&t=sj&a=accounting|search-v3|hpb
Cost Accounting And Analysis Section Head,Confidential -,"Tanta, Gharbia, Egypt ",Full TimeExperienced · 10 - 12 Yrs of Exp · Accounting/Finance · Operations/Management · Quality · Financial Analysis · Accounting · Cost Control · Financial Data Analysis · Financial Management · Finance · CMA,https://wuzzuf.net/jobs/p/TM5KA01LgMUT-Cost-Accounting-And-Analysis-Section-Head-Gharbia-Egypt?o=17&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager- Manufacturing,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Accounting/Finance · Banking · Operations/Management · Accounting · Finance · Financial Management · English · Computer Skills · Management · Financial Analysis,https://wuzzuf.net/jobs/p/8wbuhP6pDBgq-Accounting-Manager--Manufacturing-Cairo-Egypt?o=18&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,MATGR For Engineering And Trading -,"New Cairo, Cairo, Egypt ",Full TimeManager · 10 - 12 Yrs of Exp · males_preferred · Accounting/Finance · Operations/Management · Finance · Accounting · Financial Management · Financial Analysis · CMA · CPA · CFA · English,https://wuzzuf.net/jobs/p/RzZPc39x8Ddn-Accounting-Manager-MATGR-For-Engineering-And-Trading-Cairo-Egypt?o=19&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager- Cafe,Confidential -,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Accounting/Finance · Banking · Operations/Management · Accounting · Finance · Financial Management · English · Computer Skills · Management · Financial Analysis,https://wuzzuf.net/jobs/p/Kn2tU9BD7Qem-Accounting-Manager--Cafe-Cairo-Egypt?o=20&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,Englizya for public transportation  -,"Shubra, Cairo, Egypt ",Full TimeManager · 7+ Yrs of Exp · Accounting/Finance · Accounting · Oracle · Finance · Computer Skills · SAP · MS Office · Financial Analysis · Financial Management · Accounting Software,https://wuzzuf.net/jobs/p/iXt0VXcT8Trx-Accounting-Manager-Englizya-for-public-transportation-Cairo-Egypt?o=21&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,Confidential -,"Giza, Giza, Egypt ",Full TimeManager · 5+ Yrs of Exp · Accounting/Finance · Banking · Accounting · Financial Management · Finance · Microsoft Excel · CPA · English · Financial Analysis · MBA,https://wuzzuf.net/jobs/p/GbAlgbORc079-Accounting-Manager-Giza-Egypt?o=22&l=sp&t=sj&a=accounting|search-v3|hpb
Senior Accounting Specialist (Media Company),Pillars -,"Cairo, Egypt ",Full TimeExperienced · 10+ Yrs of Exp · Accounting/Finance · Media/Journalism/Publishing · Accounting · CMA · CPA · FreshBooks · QuickBooks · Accounting Software · Financial Analysis · Microsoft Office,https://wuzzuf.net/jobs/p/2jdI0tv8daHo-Senior-Accounting-Specialist-Media-Company-Pillars-Cairo-Egypt?o=23&l=sp&t=sj&a=accounting|search-v3|hpb
Accounting Manager,Aqarmap.com -,"Cairo, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · Accounting/Finance · Accounting · Finance · Accounting Standards · Financial Analysis · Financial Management · IFRS,https://wuzzuf.net/jobs/p/R02Kc7q0feAX-Accounting-Manager-Aqarmap-com-Cairo-Egypt?o=24&l=sp&t=sj&a=accounting|search-v3|hpb
