job title,company name,location,skills,links
Senior Wordpress Developer,SURE International Technology -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · WordPress · JavaScript · Information Technology (IT) · Software Development · software developer · Computer Science · wordpress developer,https://wuzzuf.net/jobs/p/g3kBfkAHHuaq-Senior-Wordpress-Developer-SURE-International-Technology-Cairo-Egypt?o=15&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
job title,company name,location,skills,links
,,,,
UI Developer,KnowledgeNet -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Bootstrap · HTML5 · Design · CSS3 · Information Technology (IT),https://wuzzuf.net/jobs/p/dxrmT5hWH8GZ-UI-Developer-KnowledgeNet-Cairo-Egypt?o=16&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Microsoft Dynamics CRM Developer,Systems Limited -,"Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CRM · Dynamics · Development · Dynamics 365 · Computer Science · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/3vzRfZEgiJZp-Microsoft-Dynamics-CRM-Developer-Systems-Limited-Cairo-Egypt?o=17&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Senior Software Developer,GUC -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Computer Engineering · Computer Science · Engineering · HTML · CSS · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/CE5uX3KE4DzZ-Senior-Software-Developer-GUC-Cairo-Egypt?o=18&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
GIS Developer,egabi solutions -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Esri · ArcGIS server · ArcGIS desktop · Web-based GIS Applications · ArcGIS Web App Builder · ArcGIS Portal · WEB API · RESTful Web Services,https://wuzzuf.net/jobs/p/enwAjYw3xol5-GIS-Developer-egabi-solutions-Cairo-Egypt?o=19&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
React Senior Front End Developer,LINK Development -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End · Computer Science · Information Technology (IT) · CSS3 · Angular · Software Development · HTML5 · javaScript,https://wuzzuf.net/jobs/p/LhlwhQNkyiK4-React-Senior-Front-End-Developer-LINK-Development-Cairo-Egypt?o=20&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
Junior Frontend Engineer,LxT -,"Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Agile · JavaScript · Programming · React · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/Ph0hih39ZvsK-Junior-Frontend-Engineer-LxT-Cairo-Egypt?o=21&l=sp&t=sj&a=javascript|search-v3|hpb
,,,,
