Senior Software Engineer,Tahaluf Al Emarat Technical Solutions -,"Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Programming · Software engineer · Software Development · Software · Software Solutions · Communication · Event Stream Processing,https://wuzzuf.net/jobs/p/wLwTr861K4Nd-Senior-Software-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=13&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Engineer -GoLang,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Design · Information Technology (IT) · Software Development · Software Engineering · Engineering · Docker · Communication,https://wuzzuf.net/jobs/p/ycqPUjGFGNwU-Senior-Software-Engineer--GoLang-Andela-Cairo-Egypt?o=14&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Java Software Engineer,Jumia -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming · Docker · Development · Design · Hibernate · Computer Science · Java · Information Technology (IT),https://wuzzuf.net/jobs/p/jmzuECuriRlR-Senior-Java-Software-Engineer-Jumia-Cairo-Egypt?o=15&l=sp&t=sj&a=software engineer|search-v3|hpb
job title,company name,location,skills,links
PHP Software Engineering Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/sRdxeLSBGPVW-PHP-Software-Engineering-Manager-Cairo-Egypt?o=16&l=sp&t=sj&a=software engineer|search-v3|hpb
PHP Software Engineering Lead,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/PHnd0uZm9FIC-PHP-Software-Engineering-Lead-Cairo-Egypt?o=17&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Engineer,ORDOchao -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Database · Information Technology (IT) · Software Development · Software Engineering · SQL · Integration · Business Analysis · Consultancy · solution consultant,https://wuzzuf.net/jobs/p/k2VK4O24JZeN-Software-Engineer-ORDOchao-Giza-Egypt?o=18&l=sp&t=sj&a=software engineer|search-v3|hpb
Java Software Development Engineer (Multinational),Pillars -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java Software Development · SQL · jQuery · CSS · DFX · Software Development,https://wuzzuf.net/jobs/p/3LiTQ4jJdkVg-Java-Software-Development-Engineer-Multinational-Pillars-Cairo-Egypt?o=19&l=sp&t=sj&a=software engineer|search-v3|hpb
Principal Software Engineer,Jumia -,"Cairo, Egypt ",Full TimeManager · 8 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Agile · Java · Spring Boot · Docker · Redis · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/6Pa1Qje3zqjZ-Principal-Software-Engineer-Jumia-Cairo-Egypt?o=20&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Quality Control Engineer,Bnsights -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · Software · Computer Science · ISTQB · Agile,https://wuzzuf.net/jobs/p/mV8jUCtLa1Uu-Senior-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?o=21&l=sp&t=sj&a=software engineer|search-v3|hpb
