Data Scientist,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Computer Science · Data Science · data scientist · Engineering · Information Technology (IT) · Java · Machine Learning,https://wuzzuf.net/jobs/p/rkQ7JHkEd4ke-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=13&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Data Scientist,Nana -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Python · R · data scientist · Computer Science · Cloud · Software Development,https://wuzzuf.net/jobs/p/VNMH2hByeVW8-Senior-Data-Scientist-Nana-Cairo-Egypt?o=14&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Computer Vision Engineer,Tech SquAd -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Vision · Machine Learning · Deep Learning · Algorithms · Information Technology (IT) · Software Engineering · Engineering · Computer Science,https://wuzzuf.net/jobs/p/iE8vtw4pEoPr-Senior-Computer-Vision-Engineer-Tech-SquAd-Giza-Egypt?o=15&l=sp&t=sj&a=machine learning|search-v3|hpb
job title,company name,location,skills,links
Electrical Maintenance Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Maintenance · English · Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/c2xaRuGUyqNJ-Electrical-Maintenance-Engineer-Sharqia-Egypt?o=16&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior C++ Software Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · OOP · Information Technology (IT) · Engineering · Telecommunication · German · Computer Science · Development,https://wuzzuf.net/jobs/p/Xa06oSsc5qnT-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=17&l=sp&t=sj&a=machine learning|search-v3|hpb
Industrial Efficiency Intern - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Ameria, Alexandria, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Manufacturing/Production · Engineering - Oil & Gas/Energy · Production · Industrial Engineering · Microsoft Office · Engineering · Faculty of engineering · Production Engineering · Electromechanical Engineering · Industrial,https://wuzzuf.net/jobs/p/f8zee5FXLOmi-Industrial-Efficiency-Intern---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt?o=18&l=sp&t=sj&a=machine learning|search-v3|hpb
Software Development Team Manager,International Advanced  -,"Nasr City, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Engineering · Information Technology (IT) · Software Development · Software Engineering · CSS,https://wuzzuf.net/jobs/p/GbBv4cibq5F1-Software-Development-Team-Manager-International-Advanced-Cairo-Egypt?o=19&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior Technical Sales Engineer – Software,Caelum Egypt -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Sales · Software Engineering · Software · Software Sales,https://wuzzuf.net/jobs/p/lnIQZFSd0OtH-Senior-Technical-Sales-Engineer-–-Software-Caelum-Egypt-Giza-Egypt?o=20&l=sp&t=sj&a=machine learning|search-v3|hpb
Mechanical Maintenance Section Head,INDEVCO -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Maintenance · Mechanical · Mechanical Engineering · Production,https://wuzzuf.net/jobs/p/KbVVyKEVNjnw-Mechanical-Maintenance-Section-Head-INDEVCO-Giza-Egypt?o=21&l=sp&t=sj&a=machine learning|search-v3|hpb
