job title,company name,location,skills,links
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
job title,company name,location,skills,links
Python Django Developer,Support Legal -,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Django · Python · Software Development · PostgreSQL · Computer Science · Engineering · Git,https://wuzzuf.net/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=16&l=sp&t=sj&a=python|search-v3|hpb
Java/Python Developer,Nabd -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Python · Information Technology (IT) · Software Development · Software · IT · Communication skills · Computer Science,https://wuzzuf.net/jobs/p/lXUto1XGcCgE-JavaPython-Developer-Nabd-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,https://wuzzuf.net/jobs/p/UKNVnOsS4BfJ-Senior-Python-Linux-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - Python,Unifonic -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · pthon · flask · Django · Agile · Computer Science · Engineering · Git · Information Technology (IT),https://wuzzuf.net/jobs/p/Wp5vF3QM9wPh-Senior-Software-Engineer---Python-Unifonic-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb
Software Application Architect,YDS yasar digital services  -,"Sheikh Zayed, Giza, Egypt ",Part TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · APIs · Programming · REST · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/aq4p81P6lSQm-Software-Application-Architect-YDS-yasar-digital-services-Giza-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,STC Solutions - Egypt -,"Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Python · Kubernetes · Ansible · Microservice Architecture · Java · Electrical Engineering · Computer Science,https://wuzzuf.net/jobs/p/H49O82xGl2xN-Senior-Devops-Engineer-STC-Solutions---Egypt-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb
Senior Penetration Tester (On-Site),Union Coop -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · OSCP · SOC · RED · Computer Engineering · Information Technology (IT) · Offensive Security · Computer Science · Engineering,https://wuzzuf.net/jobs/p/Ib4d16BHgZY3-Senior-Penetration-Tester-On-Site-Union-Coop-Giza-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb
Technical Leader,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeWork From HomeManager · 7 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ 17 · C++ · Linux · QNX · Management · Software Development · Computer Science · Engineering,https://wuzzuf.net/jobs/p/orzmffefKz7P-Technical-Leader-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 1 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Development · Agile,https://wuzzuf.net/jobs/p/z2IIafg1IBcM-Devops-Engineer-Andela-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb
DevOps Engineer (Remotely for USA),Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 8 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes · Python,https://wuzzuf.net/jobs/p/qEKSI3oC9xVf-DevOps-Engineer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb
Solutions Architect,Block Gemini -,"Mohandessin, Giza, Egypt ",Full TimeManager · 8 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Engineering · Software · Solution Architecture · Node.js · Java Development · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/XU1xFNtCj24G-Solutions-Architect-Block-Gemini-Giza-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Kortobaa LLC -,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · DevOps · Git · Information Technology (IT) · Kubernetes · Python,https://wuzzuf.net/jobs/p/RMNPt9bo21K9-Devops-Engineer-Kortobaa-LLC-Alexandria-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Engineer,Kalasko -,"Hurghada, Red Sea, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Information Technology (IT) · Data Engineering · Git · SQL · DevOps · Azure · AWS,https://wuzzuf.net/jobs/p/9pa35ndrMocC-Senior-Data-Engineer-Kalasko-Red-Sea-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb
Data Management Specialist,M.Srour -,"Imbaba, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Microsoft Excel · Data Entry · Data Analysis · Microsoft Office · Business Analysis · Computer Science,https://wuzzuf.net/jobs/p/owHHtYyL6L6t-Data-Management-Specialist-M-Srour-Giza-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb
Experienced Python/Django Developer,Infoblink -,"Dokki, Giza, Egypt ",Full TimePart TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · GitHUB · CSS · HTML · SaaS · Python · Information Technology (IT) · Node JS,https://wuzzuf.net/jobs/p/EVPLF753qKO9-Experienced-PythonDjango-Developer-Infoblink-Giza-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb
job title,company name,location,skills,links
Data Analyst / Senior Data Analyst / Data Architect,National System LLC -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Banking · Analyst/Research · Data Analysis · Data · Analysis · Data Analyst · Senior Data Analyst · Data Architecture · Data Architect · Data Science,https://wuzzuf.net/jobs/p/y7LpQDPafNJr-Data-Analyst-Senior-Data-Analyst-Data-Architect-National-System-LLC-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Programming · IT · computer · Software Development · Kubernetes · Software Testing · Python,https://wuzzuf.net/jobs/p/I5JsTIacEnwN-Senior-Devops-Engineer-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,EXALT Technologies -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Development · Software Engineering · Computer Science · SW Development · Python · Bash Scripting · DevOps,https://wuzzuf.net/jobs/p/1g6RgZBnYRKL-Devops-Engineer-EXALT-Technologies-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb
