job title,company name,location,skills,links
Mechanical Site Engineer - Waste Heat Recovery Project,Suez Cement – Heidelberg Cement -,"Helwan, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 10+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Site Engineering · English · Project · Project Management · Installation · Maintenance · Engineering,https://wuzzuf.net/jobs/p/APpErKCx4Gol-Mechanical-Site-Engineer---Waste-Heat-Recovery-Project-Suez-Cement-–-Heidelberg-Cement-Cairo-Egypt?o=12&l=sp&t=sj&a=engineer|search-v3|hpb
Sales Engineer,Elmoqawel -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical · Civil Engineering · Heavy Equipment · Sales · Engineering · Civil · Mechanical Engineering · Surveying Engineering,https://wuzzuf.net/jobs/p/eexlJsgpWPTq-Sales-Engineer-Elmoqawel-Cairo-Egypt?o=13&l=sp&t=sj&a=engineer|search-v3|hpb
Project-Based Site Engineer (Sharm El Sheik),Confidential -,"Mokattam, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 2+ Yrs of Exp · Engineering - Oil & Gas/Energy · Engineering · Site · CAD · Project · Communication Skills · Electrical · Site Engineer · English · Microsoft Office,https://wuzzuf.net/jobs/p/y0lGA1ObEKWb-Project-Based-Site-Engineer-Sharm-El-Sheik-Cairo-Egypt?o=14&l=sp&t=sj&a=engineer|search-v3|hpb
Senior Pre-Sales Engineer - Light Current Systems,QuadraTech for Information Technology -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · AutoCAD · Light Current · Microsoft Visio · Engineering,https://wuzzuf.net/jobs/p/SPu2107mdUj2-Senior-Pre-Sales-Engineer---Light-Current-Systems-QuadraTech-for-Information-Technology-Cairo-Egypt?o=15&l=sp&t=sj&a=engineer|search-v3|hpb
Sr. Softscape Engineer,Jozoor Landscapes -,"New Capital, Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Agriculture · SoftScape · LandScape · Irrigation · Contraction · Troubleshooting · Construction · Engineering,https://wuzzuf.net/jobs/p/AQjseN5LPNzM-Sr-Softscape-Engineer-Jozoor-Landscapes-Cairo-Egypt?o=16&l=sp&t=sj&a=engineer|search-v3|hpb
Technical Office Electrical Engineer,Teba United -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Electrical Engineering · Microsoft Office · AutoCAD · Technical Office Engineering,https://wuzzuf.net/jobs/p/QOH4OcXOPl2y-Technical-Office-Electrical-Engineer-Teba-United-Cairo-Egypt?o=17&l=sp&t=sj&a=engineer|search-v3|hpb
Civil Site Engineer - Waste Heat Recovery Project,Suez Cement – Heidelberg Cement -,"Helwan, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 10+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Installation/Maintenance/Repair · Manufacturing/Production · Civil · Civil Engineering · Engineering · Construction · Installation · Project · Power,https://wuzzuf.net/jobs/p/4Dhqi2uXK7Qz-Civil-Site-Engineer---Waste-Heat-Recovery-Project-Suez-Cement-–-Heidelberg-Cement-Cairo-Egypt?o=18&l=sp&t=sj&a=engineer|search-v3|hpb
Electrical Site Engineer - Waste Heat Recovery Project,Suez Cement – Heidelberg Cement -,"Helwan, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 10+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical · Electrical power · English · Installation · Maintenance · Engineering,https://wuzzuf.net/jobs/p/yMb4dP2UCDKq-Electrical-Site-Engineer---Waste-Heat-Recovery-Project-Suez-Cement-–-Heidelberg-Cement-Cairo-Egypt?o=19&l=sp&t=sj&a=engineer|search-v3|hpb
Operations Engineer (Automotive),Kasrawy Group -,"Abu Rawash, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · Operations/Management · Engineering - Mechanical/Electrical · Engineering · Automotive · Operations · Mechanical · Mechanical Engineering,https://wuzzuf.net/jobs/p/YC0Vjc6aHR1A-Operations-Engineer-Automotive-Kasrawy-Group-Giza-Egypt?o=20&l=sp&t=sj&a=engineer|search-v3|hpb
Senior Production Engineer,Comet Group for Industry -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Project/Program Management · Engineering - Mechanical/Electrical · Production · Engineering · Project Management · Civil Engineering · Information Technology (IT) · AutoCAD · English,https://wuzzuf.net/jobs/p/JRrNFZfBPuUe-Senior-Production-Engineer-Comet-Group-for-Industry-Sharqia-Egypt?o=21&l=sp&t=sj&a=engineer|search-v3|hpb
