job title,company name,location,skills,links
Ansible Automation Architect,SSC Egypt -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ansible · Automation · Linux · MySQL · network · Security · Cloud · DevOps,https://wuzzuf.net/jobs/p/Xua5XX1PodIi-Ansible-Automation-Architect-SSC-Egypt-Cairo-Egypt?o=14&l=sp&t=sj&a=chef|search-v3|hpb
Senior Devops Engineer,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Programming · IT · computer · Software Development · Kubernetes · Software Testing · Python,https://wuzzuf.net/jobs/p/I5JsTIacEnwN-Senior-Devops-Engineer-Cairo-Egypt?o=15&l=sp&t=sj&a=chef|search-v3|hpb
DevOps Engineer,axispay -,"Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Computer Science · DevOps · Docker · Git · Information Technology (IT) · Jenkins,https://wuzzuf.net/jobs/p/gbM4AO9NVldr-DevOps-Engineer-axispay-Cairo-Egypt?o=16&l=sp&t=sj&a=chef|search-v3|hpb
DevOps Engineer,Genovity  -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ansible · CI/CD · Azure · DevOps · Git · JIRA · Kubernetes · Gitlab,https://wuzzuf.net/jobs/p/WQRpDKWKBCjD-DevOps-Engineer-Genovity-Giza-Egypt?o=17&l=sp&t=sj&a=chef|search-v3|hpb
Food Photographer / Food Stylist,Digital Essence  -,"Cairo, Egypt ",Freelance / ProjectEntry Level · 1+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Creative · Food · Style · Photography · Food Photography · Studio · Photo Editing,https://wuzzuf.net/jobs/p/3FcsTNV0KKW9-Food-Photographer-Food-Stylist-Digital-Essence-Cairo-Egypt?o=18&l=sp&t=sj&a=chef|search-v3|hpb
Devops Engineer,Agile Technologies  -,"Maadi, Cairo, Egypt ",Full TimeShift BasedExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · DevOps · Information Technology (IT) · Programming · Systems · IT · SQL · Computer Science,https://wuzzuf.net/jobs/p/2ucee90lRVwo-Devops-Engineer-Agile-Technologies-Cairo-Egypt?o=19&l=sp&t=sj&a=chef|search-v3|hpb
DevOps/ProdOPS Engineer.,Cegedim -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · DevOps · ProdOPS · Gradle · Git · Openshift,https://wuzzuf.net/jobs/p/i0D3wtlw5vRn-DevOpsProdOPS-Engineer-Cegedim-Cairo-Egypt?o=20&l=sp&t=sj&a=chef|search-v3|hpb
DevOps Engineer,Hitop -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS Cloud · Cloud · AWS · DevOps · Systems · Security · Computer Science,https://wuzzuf.net/jobs/p/kPl3G4wTDfyZ-DevOps-Engineer-Hitop-Cairo-Egypt?o=21&l=sp&t=sj&a=chef|search-v3|hpb
AWS Devops Engineer,Confidential -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ansible · AWS · Cloud · Computer Science · DevOps · Docker · Github · Information Technology (IT),https://wuzzuf.net/jobs/p/53UllZWE0yAY-AWS-Devops-Engineer-Cairo-Egypt?o=22&l=sp&t=sj&a=chef|search-v3|hpb
Sales Manager - Catering Company,Rayman Consulting & Recruiting -,"Nozha, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · Sales/Retail · Business Management · Catering · business · Culinary arts · Management · Sales · Culinary · sales skills,https://wuzzuf.net/jobs/p/BbLVIckRDK8v-Sales-Manager---Catering-Company-Rayman-Consulting-Recruiting-Cairo-Egypt?o=23&l=sp&t=sj&a=chef|search-v3|hpb
Senior Devops Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · AWS · Information Technology (IT) · Ansible · RDS · EC2 · Kubernetes · MongoDB,https://wuzzuf.net/jobs/p/yHA7XcIQwVWf-Senior-Devops-Engineer-Paymob-Solutions-Cairo-Egypt?o=24&l=sp&t=sj&a=chef|search-v3|hpb
Director of Operations,Somabay -,"Hurghada, Red Sea, Egypt ",Full TimeSenior Management · 10 - 15 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Customer Service · Hotels · Management · Administration · Tourism · Operations · English · Business Administration,https://wuzzuf.net/jobs/p/aiuJCHh8pRyY-Director-of-Operations-Somabay-Red-Sea-Egypt?o=25&l=sp&t=sj&a=chef|search-v3|hpb
