job title,company name,location,skills,links
Security Team Leader,Hyde Park  -,"New Cairo, Cairo, Egypt ",Full TimeManager · 3 - 6 Yrs of Exp · Operations/Management · Security · Administration · Real Estate,https://wuzzuf.net/jobs/p/TKGqkJVFketh-Security-Team-Leader-Hyde-Park-Cairo-Egypt?o=13&l=sp&t=sj&a=security|search-v3|hpb
General Manager for a Security Systems Company,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeSenior Management · 15 - 20 Yrs of Exp · Installation/Maintenance/Repair · C-Level Executive/GM/Director · Engineering - Telecom/Technology · Access Control · IP CCTV · CCTV · AXIS · Lenel Systems · Management · Engineering,https://wuzzuf.net/jobs/p/MibMHJwmN1er-General-Manager-for-a-Security-Systems-Company-Giza-Egypt?o=14&l=sp&t=sj&a=security|search-v3|hpb
Senior Presales Engineer Security Systems,CompuGeorge -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Sales/Retail · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Design · Engineering · Electronics · Security Systems · CCTV System · Access Control · Intrusion Prevention System (IPS),https://wuzzuf.net/jobs/p/z2swuUr3cVII-Senior-Presales-Engineer-Security-Systems-CompuGeorge-Giza-Egypt?o=15&l=sp&t=sj&a=security|search-v3|hpb
Senior Security Engineer,ZINAD IT -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Security · IT · Network Security · Engineering · Information Technology (IT) · Software · Software Development · Testing,https://wuzzuf.net/jobs/p/8021mZTUev0X-Senior-Security-Engineer-ZINAD-IT-Cairo-Egypt?o=16&l=sp&t=sj&a=security|search-v3|hpb
Jr Pre Sales Security Engineer,Confidential -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · CCTV · Electrical · Low Current · IP · Sales · Sales Skills · Sales Target,https://wuzzuf.net/jobs/p/MlyaxTewmx39-Jr-Pre-Sales-Security-Engineer-Cairo-Egypt?o=17&l=sp&t=sj&a=security|search-v3|hpb
Network Security Engineer,Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 3+ Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cisco · Computer Science · Engineering · Information Technology (IT) · Network Security · Networking · Security,https://wuzzuf.net/jobs/p/Zekd2NK6PvAs-Network-Security-Engineer-Riyadh-Saudi-Arabia?o=18&l=sp&t=sj&a=security|search-v3|hpb
Cyber Security Data Engineer,Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Computer Engineering · Computer Science · Information Technology (IT) · Programming · Software · Python · Java,https://wuzzuf.net/jobs/p/gr14Uk8B382n-Cyber-Security-Data-Engineer-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=19&l=sp&t=sj&a=security|search-v3|hpb
Assistant Security Manager,Logistica -,"6th of October, Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · males_only · Administration · Other · Police · Security · Security Risk Assesment · ISO 28000 · Supply Chain Security,https://wuzzuf.net/jobs/p/0lWYzlLhVHEH-Assistant-Security-Manager-Logistica-Giza-Egypt?o=20&l=sp&t=sj&a=security|search-v3|hpb
Network Security Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Networking · Security · Security+ · Engineering · Computer Science · Information Technology (IT) · Troubleshooting,https://wuzzuf.net/jobs/p/IJZ6WR5tDZ2W-Network-Security-Engineer-Perfect-Presentation-Giza-Egypt?o=21&l=sp&t=sj&a=security|search-v3|hpb
Application Security Engineer,Remote Platz -,"Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cybersecurity · Database · Information Technology (IT) · HTTP · UDP · OWASP,https://wuzzuf.net/jobs/p/7T2TRY6Pxf7F-Application-Security-Engineer-Remote-Platz-Cairo-Egypt?o=22&l=sp&t=sj&a=security|search-v3|hpb
Security Engineer,AIU -,"Alamein, Matruh, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · Security · Software · Information Technology (IT) · Electrical Engineering · English,https://wuzzuf.net/jobs/p/v87b8JomSAFx-Security-Engineer-AIU-Matruh-Egypt?o=23&l=sp&t=sj&a=security|search-v3|hpb
Network Security Engineer,Premier Services and Recruitment -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 5 - 12 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Security Engineer · Cyber Security · firewalls · Endpoint security · CEH · CISSP · CISM,https://wuzzuf.net/jobs/p/oDtqvBgWesSQ-Network-Security-Engineer-Premier-Services-and-Recruitment-Giza-Egypt?o=24&l=sp&t=sj&a=security|search-v3|hpb
Security Manager,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Administration · Customer Service · Security · Safety · Skills,https://wuzzuf.net/jobs/p/IMpI5oS574FP-Security-Manager-Sharqia-Egypt?o=25&l=sp&t=sj&a=security|search-v3|hpb
Sr. Sales Account Manager - Cyber Security,Reacts software solutions -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Sales/Retail · Account Management · English · IT · Sales · Sales Target · Management · Negotiation · Communication,https://wuzzuf.net/jobs/p/k16dzXy94rcX-Sr-Sales-Account-Manager---Cyber-Security-Reacts-software-solutions-Cairo-Egypt?o=26&l=sp&t=sj&a=security|search-v3|hpb
Security Operation Center Engineer (L2) (Multinational),Pillars -,"Cairo, Egypt ",Full TimeManager · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SOC ENGINEER · Network Security Expert · Network Security · Information Security · Certified Information Security Manager · Cyber Security,https://wuzzuf.net/jobs/p/Ct6vHbjh47RO-Security-Operation-Center-Engineer-L2-Multinational-Pillars-Cairo-Egypt?o=27&l=sp&t=sj&a=security|search-v3|hpb
Network Security Manager (Multinational),Pillars -,"Cairo, Egypt ",Full TimeManager · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Network Security · Cyber Security · Certified Information Security Manager · Internet Security · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/KfWvRb8rf1p3-Network-Security-Manager-Multinational-Pillars-Cairo-Egypt?o=28&l=sp&t=sj&a=security|search-v3|hpb
