job title,company name,location,skills,links
Chemistry Teacher,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · R&D/Science · Education/Teaching · Chemistry · Education · Teacher · Teaching,https://wuzzuf.net/jobs/p/LPvo4chHxduf-Chemistry-Teacher-Liwa-Education-Al-Ain-United-Arab-Emirates?o=14&l=sp&t=sj&a=teaching|search-v3|hpb
Elementary Teacher,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Education · Teaching · English · English Teaching · Elementary · School,https://wuzzuf.net/jobs/p/k3NuQC1Y9pM0-Elementary-Teacher-Liwa-Education-Al-Ain-United-Arab-Emirates?o=15&l=sp&t=sj&a=teaching|search-v3|hpb
Co-Teacher,Malvern College Egypt -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Education/Teaching · Co-teacher · Education · English · learning · Teaching,https://wuzzuf.net/jobs/p/9Vr7j1maJDKc-Co-Teacher-Malvern-College-Egypt-Cairo-Egypt?o=16&l=sp&t=sj&a=teaching|search-v3|hpb
Physical Education Teacher,Malvern College Egypt -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Sports and Leisure · Education/Teaching · Communication skills · Education · English · system · Teaching · teaching certificate,https://wuzzuf.net/jobs/p/WSF1hdfidTlo-Physical-Education-Teacher-Malvern-College-Egypt-Cairo-Egypt?o=17&l=sp&t=sj&a=teaching|search-v3|hpb
Head OF English Department - International Kingdom College,(MSA) October University -,"6th of October, Giza, Egypt ",Full TimeSenior Management · 4 - 10 Yrs of Exp · Operations/Management · Education/Teaching · HOD · English language · school head · school senior leadership team · Curriculum Development · English · Leadership · Management,https://wuzzuf.net/jobs/p/0Ex3m6nWvINd-Head-OF-English-Department---International-Kingdom-College-MSA-October-University-Giza-Egypt?o=18&l=sp&t=sj&a=teaching|search-v3|hpb
Christian Religion Teacher,GEMS Education -,"Rehab City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · PYP · Teaching · English · Arabic · Christian religion · French Teaching · Education,https://wuzzuf.net/jobs/p/Zq2Hpbfdil4A-Christian-Religion-Teacher-GEMS-Education-Cairo-Egypt?o=19&l=sp&t=sj&a=teaching|search-v3|hpb
Math Teacher,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Part TimeExperienced · 3 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · Mathematics · Teaching · Tutor · Instructor · Education · Math · English,https://wuzzuf.net/jobs/p/cWCw4pTY9ClH-Math-Teacher-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=20&l=sp&t=sj&a=teaching|search-v3|hpb
Senior English Instructor (Online or/and Dokki),SYE English Community -,"Dokki, Giza, Egypt ",Full TimeShift BasedExperienced · 5+ Yrs of Exp · Education/Teaching · Training/Instructor · TEFL · Teaching · Education · Instructing · CELTA · PCELT · FELT · Linguistics,https://wuzzuf.net/jobs/p/KOpgw1cHxpFv-Senior-English-Instructor-Online-orand-Dokki-SYE-English-Community-Giza-Egypt?o=21&l=sp&t=sj&a=teaching|search-v3|hpb
Music Teacher (2022/2023 Academic Year),Windrose Academy -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · Education/Teaching · Music · Education · Teaching · Choir · School Choir · School · British School · Singing,https://wuzzuf.net/jobs/p/AZtMlSvcnIli-Music-Teacher-20222023-Academic-Year-Windrose-Academy-Cairo-Egypt?o=22&l=sp&t=sj&a=teaching|search-v3|hpb
Preschool Montessori English Teacher (Mivida Branch),Trillium Preschool -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Education/Teaching · Education · English · Preschool · Teaching · Communication skills,https://wuzzuf.net/jobs/p/pFD3WjPUwZ2d-Preschool-Montessori-English-Teacher-Mivida-Branch-Trillium-Preschool-Cairo-Egypt?o=23&l=sp&t=sj&a=teaching|search-v3|hpb
One-to-one English language Coach,E3 Learning -,"Cairo, Egypt ",Part TimeEntry Level · 0 - 1 Yrs of Exp · Education/Teaching · Training/Instructor · English Teaching · English Training · English Education · English Instructing · English Literature · Business English · Teaching English as a Foreign  Language,https://wuzzuf.net/jobs/p/6dq3Vz7vOGfr-One-to-one-English-language-Coach-E3-Learning-Cairo-Egypt?o=24&l=sp&t=sj&a=teaching|search-v3|hpb
Mathematics Teacher - 10th of Ramadan City,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Math · Education · SAT · Core State Standards · Mathematics · Teacher · Teaching · American diploma · Computer Skills,https://wuzzuf.net/jobs/p/NQSDfh5tdlK8-Mathematics-Teacher---10th-of-Ramadan-City-El-Massria-Integrated-Schools-Sharqia-Egypt?o=25&l=sp&t=sj&a=teaching|search-v3|hpb
Unity Instructor,Edu-Zone -,"Cairo, Egypt ",Full TimePart TimeWork From HomeExperienced · 8 - 14 Yrs of Exp · Engineering - Telecom/Technology · Education/Teaching · Online Education · Educational Technology · Technology · Unity · Unity 3D · computer games · mobile games · Game design,https://wuzzuf.net/jobs/p/soHTkXE5ry99-Unity-Instructor-Edu-Zone-Cairo-Egypt?o=26&l=sp&t=sj&a=teaching|search-v3|hpb
English Teacher,Edu-Zone -,"Giza, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · Education/Teaching · Training/Instructor · Education · English Teaching · nurseries · English · Teaching,https://wuzzuf.net/jobs/p/tjo6xUiPyobs-English-Teacher-Edu-Zone-Giza-Egypt?o=27&l=sp&t=sj&a=teaching|search-v3|hpb
"Science/Physics Facilitator For Kids ""STEAM Education""",Edu-Zone -,"Cairo, Egypt ",Full TimeEntry Level · R&D/Science · Education/Teaching · Training/Instructor · Teaching · Education · STEAM · Computer Skills · Astronomy · Science · Physics,https://wuzzuf.net/jobs/p/CWL32dGSWO7B-SciencePhysics-Facilitator-For-Kids-STEAM-Education-Edu-Zone-Cairo-Egypt?o=28&l=sp&t=sj&a=teaching|search-v3|hpb
Learning Disabilities Teacher,"British International School, Cairo -","Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Teaching · Education · Learning Disabilities · Communication skills,https://wuzzuf.net/jobs/p/bvJIe2paULwu-Learning-Disabilities-Teacher-British-International-School-Cairo-Giza-Egypt?o=29&l=sp&t=sj&a=teaching|search-v3|hpb
Social Studies And History Teacher,"British International School, Cairo -","Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Education · History · Social Studies · Teaching,https://wuzzuf.net/jobs/p/FgZJKXaCCfCj-Social-Studies-And-History-Teacher-British-International-School-Cairo-Giza-Egypt?o=30&l=sp&t=sj&a=teaching|search-v3|hpb
Arabic Teacher - Middle & Secondary Stage,"British International School, Cairo -","Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Training/Instructor · Arabic · Arabic Teaching · Education · Teacher · Teaching · GCSE · IGCSE · IB,https://wuzzuf.net/jobs/p/HWlivDCGpy76-Arabic-Teacher---Middle-Secondary-Stage-British-International-School-Cairo-Giza-Egypt?o=31&l=sp&t=sj&a=teaching|search-v3|hpb
