job title,company name,location,skills,links
Marketing Executive,Hamza Group -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · B2B · B2C · Market Research · Marketing · Microsoft · sales skills · Media · Communication Skills,https://wuzzuf.net/jobs/p/vNcGdaUXQEz7-Marketing-Executive-Hamza-Group-Giza-Egypt?o=11&l=sp&t=sj&a=c|search-v3|hpb
,,,,
International Account Advisor IE (VOIS)-Remote work,_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · c1 · Communication skills · English,https://wuzzuf.net/jobs/p/hE1u3zUp50MQ-International-Account-Advisor-IE-VOIS-Remote-work-VOIS-Egypt-Giza-Egypt?o=12&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Embeded Developer For Network Devices,Zamred -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C · C++ · Software Development · Networking · CCNA · Windows · Linux · Information Technology (IT),https://wuzzuf.net/jobs/p/bJVfjDfLNGC9-Embeded-Developer-For-Network-Devices-Zamred-Cairo-Egypt?o=13&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Program Developer,Delta for construction and rebuilding -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C · Computer Science · Database · Information Technology (IT) · Science · Software Development · SQL · Programming,https://wuzzuf.net/jobs/p/TYBNf9LsSUix-Program-Developer-Delta-for-construction-and-rebuilding-Cairo-Egypt?o=14&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Customer Support Advisor - Vodafone Ireland (Work From Home),_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full TimeShift BasedWork From HomeEntry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Customer Care · Communication · Customer Service · Customer Support · English · Experience · c1 · Fluency in English · WFH,https://wuzzuf.net/jobs/p/winaNoQIzssL-Customer-Support-Advisor---Vodafone-Ireland-Work-From-Home-VOIS-Egypt-Giza-Egypt?o=15&l=sp&t=sj&a=c|search-v3|hpb
,,,,
job title,company name,location,skills,links
,,,,
HR Administrator (C&B),Ostool Transport -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · C&B · Microsoft Excel · Recruitment · Business Administration · Microsoft,https://wuzzuf.net/jobs/p/dG5FlKDDVaqi-HR-Administrator-CB-Ostool-Transport-Giza-Egypt?o=1&l=sp&t=sj&a=c|search-v3|hpb
,,,,
SAP C4C Consultant,Talaat Moustafa Group -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · Computer Science · SAP S/4HANA · S/4HANA · Engineering · Integration · UI,https://wuzzuf.net/jobs/p/5aPJTUWpY07n-SAP-C4C-Consultant-Talaat-Moustafa-Group-Giza-Egypt?o=2&l=sp&t=sj&a=c|search-v3|hpb
,,,,
Hub B to C Specialist,Nacita -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Logistics/Supply Chain · Operations/Management · B2C · Customer Support · Supply Chain · Transportation,https://wuzzuf.net/jobs/p/dd9aJbQf1jdj-Hub-B-to-C-Specialist-Nacita-Giza-Egypt?o=3&l=sp&t=sj&a=c|search-v3|hpb
,,,,
