job title,company name,location,skills,links
HR Specialist,EasyKash -,"Dokki, Giza, Egypt ",Full TimePart TimeExperienced · 2+ Yrs of Exp · Administration · Human Resources · Training/Instructor · Human Resources (HR) · Recruitment · Talent Acquisition · Personnel · HR · Business Administration · Labor,https://wuzzuf.net/jobs/p/ebkZE518pHJ5-HR-Specialist-EasyKash-Giza-Egypt?o=16&l=sp&t=sj&a=hr|search-v3|hpb
HR Manager,El Teriak Industrial Group -,"Giza, Egypt ",Full TimeManager · 10+ Yrs of Exp · Human Resources · Human Resources (HR) · OD · Compensation Program · Personnel · Salary Surveys · Job Descriptions · HR Systems · HR Manager · HR,https://wuzzuf.net/jobs/p/6bT9JuZ93Z46-HR-Manager-El-Teriak-Industrial-Group-Giza-Egypt?o=17&l=sp&t=sj&a=hr|search-v3|hpb
HR Business Partner - Distribution Centers,One Point Holding -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Human Resources · Operations/Management · business · Business Administration · HR Business · Human Resources (HR) · Management · Microsoft Office · Recruitment · HR,https://wuzzuf.net/jobs/p/OOyk4F8xrxMh-HR-Business-Partner---Distribution-Centers-One-Point-Holding-Cairo-Egypt?o=18&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,Mersal  -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Human Resources · Human Resources (HR) · Microsoft Office · Recruitment · HR Specialist · Labor Legislation · Personnel · HR · Human Resources · Labor,https://wuzzuf.net/jobs/p/X57HTVJg5WIZ-HR-Specialist-Mersal-Cairo-Egypt?o=19&l=sp&t=sj&a=hr|search-v3|hpb
HR Administrative Assistant,Maviile Furniture -,"Kafr Albattikh, Damietta, Egypt ",Full TimePart TimeExperienced · 3 - 4 Yrs of Exp · Administration · Human Resources · Skills · Human Resources (HR) · Communication · Business Administration · Administration · Recruitment · English · employment,https://wuzzuf.net/jobs/p/iZKYA5fWoPcy-HR-Administrative-Assistant-Maviile-Furniture-Damietta-Egypt?o=20&l=sp&t=sj&a=hr|search-v3|hpb
HR Executive,Lirten -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · females_only · Human Resources · Operations/Management · Human Resources · Microsoft Office · Recruitment · Human Resources (HR) · English · Management,https://wuzzuf.net/jobs/p/1omUnojrTFZg-HR-Executive-Lirten-Cairo-Egypt?o=21&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist & Office Manager,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Human Resources · Human Resources · Administration · Personnel · Recruitment · Business Administration · Human Resources (HR) · Management skills · Microsoft Office,https://wuzzuf.net/jobs/p/Si5sY6lN9qtT-HR-Specialist-Office-Manager-Giza-Egypt?o=22&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,Neisco for Modern Water Systems Production -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Human Resources · Human Resources · Personnel · Human Resources (HR) · Recruitment,https://wuzzuf.net/jobs/p/JN5cSbPW2Hsa-HR-Specialist-Neisco-for-Modern-Water-Systems-Production-Cairo-Egypt?o=23&l=sp&t=sj&a=hr|search-v3|hpb
HR Generalist,Alkan CIT -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Human Resources · HR generalist · HR · Human Resources · Human Resources (HR) · Personnel · Recruitment · Business Administration · English · Microsoft Office,https://wuzzuf.net/jobs/p/7RSI5M2XY43x-HR-Generalist-Alkan-CIT-Cairo-Egypt?o=24&l=sp&t=sj&a=hr|search-v3|hpb
HR Generalist,Mobiserve -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Human Resources · Insurance · Labor · Management · Personnel · Payroll · Recruitment · Social Insurance · Human Resources (HR),https://wuzzuf.net/jobs/p/c9AgKhhDJu4f-HR-Generalist-Mobiserve-Cairo-Egypt?o=25&l=sp&t=sj&a=hr|search-v3|hpb
HR Personnel Specialist,Neisco for Modern Water Systems Production -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Human Resources · Human Resources (HR) · Labor · Microsoft Office · Personnel · HR · HR Diploma · Labor Law · Recruitment · Law,https://wuzzuf.net/jobs/p/jiDdIqn0PHeY-HR-Personnel-Specialist-Neisco-for-Modern-Water-Systems-Production-Cairo-Egypt?o=26&l=sp&t=sj&a=hr|search-v3|hpb
Senior HR Generalist,Nozha Group -,"Obour City, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · Human Resources · Recruitment · Payroll · Performance Management · Compensation · KPI'S · Training · Personnel · Human Resources (HR) · English,https://wuzzuf.net/jobs/p/N5yGO6DCHpGy-Senior-HR-Generalist-Nozha-Group-Cairo-Egypt?o=27&l=sp&t=sj&a=hr|search-v3|hpb
HR Manager,Algioshy Steel -,"6th of October, Giza, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Human Resources · HR · HR Systems · Recruitment · Microsoft Office · Human Resources (HR) · Personnel · English,https://wuzzuf.net/jobs/p/AsOb8zCRPFvg-HR-Manager-Algioshy-Steel-Giza-Egypt?o=28&l=sp&t=sj&a=hr|search-v3|hpb
HR Officer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Human Resources · HR · Human Resources · Labor Law · Microsoft Office · Recruitment,https://wuzzuf.net/jobs/p/kZQO3lVdqzTt-HR-Officer-Cairo-Egypt?o=29&l=sp&t=sj&a=hr|search-v3|hpb
HR Manager,United Media Services  -,"6th of October, Giza, Egypt ",Full TimeManager · 10 - 12 Yrs of Exp · Human Resources · Operations/Management · Labor Law · Human Resources · Communication · Recruitment · Human Resources (HR) · Human Resources Development · Human Resource Management,https://wuzzuf.net/jobs/p/jMUWO18GDCLq-HR-Manager-United-Media-Services-Giza-Egypt?o=30&l=sp&t=sj&a=hr|search-v3|hpb
job title,company name,location,skills,links
HR Senior Supervisor,EVA Cosmetics  -,"6th of October, Giza, Egypt ",Full TimeManager · 7 - 12 Yrs of Exp · Human Resources · HR · HR Diploma · Human Resources (HR) · Recruitment · Talent acquisition · Talent assessment · Human Resources · Human Resource Management · Human Resource Management (HRM),https://wuzzuf.net/jobs/p/dVT6DDhNoYVl-HR-Senior-Supervisor-EVA-Cosmetics-Giza-Egypt?o=31&l=sp&t=sj&a=hr|search-v3|hpb
HR Officer,Ibn Sina Pharma -,"Tanta, Gharbia, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Human Resources · Egyptian Labor Law · HR · HR Diploma · Human Resources (HR) · Labor Law · Law · Microsoft Office · Personnel · Recruitment,https://wuzzuf.net/jobs/p/RM0hKrcyoI53-HR-Officer-Ibn-Sina-Pharma-Gharbia-Egypt?o=32&l=sp&t=sj&a=hr|search-v3|hpb
HR Coordinator - Alexandria,Confidential -,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Human Resources · HR Specialist · Engineering · Recruitment · Reporting · Human Resources (HR) · Microsoft Office · Administration,https://wuzzuf.net/jobs/p/8aHm1eOKplo6-HR-Coordinator---Alexandria-Alexandria-Egypt?o=33&l=sp&t=sj&a=hr|search-v3|hpb
HR Business Partner,Aman Holding -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Human Resources · Business Administration · business · business partner · HR Business · HR Business Partner · HR · Human Resources (HR) · Microsoft Office · Recruitment,https://wuzzuf.net/jobs/p/RqXV8ytaur5J-HR-Business-Partner-Aman-Holding-Cairo-Egypt?o=34&l=sp&t=sj&a=hr|search-v3|hpb
