job title,company name,location,skills,links
Cashier,NATCO Mercedes-Benz -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · Customer Service/Support · Accounting · Cashier · Commerce · Communication skills · Finance · Arabic · English,https://wuzzuf.net/jobs/p/11AB0fRJ4XMx-Cashier-NATCO-Mercedes-Benz-Giza-Egypt?o=16&l=sp&t=sj&a=cashier|search-v3|hpb
Senior AR Accountant & Treasury,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · Accounting/Finance · Accounting · Finance · SAP user · Cash Handling · Cashiering · Cash Control · Commerce · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/HZJgTLqyDmS2-Senior-AR-Accountant-Treasury-Cairo-Egypt?o=17&l=sp&t=sj&a=cashier|search-v3|hpb
Accounts Payable Accountant,Confidential -,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Banking · Accounting Software · Accounts Payable · analytical · Finance · MS · English,https://wuzzuf.net/jobs/p/P4vKGY569zCQ-Accounts-Payable-Accountant-Alexandria-Egypt?o=18&l=sp&t=sj&a=cashier|search-v3|hpb
Senior Accountant,Confidential -,"Darrasa, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Accounting/Finance · Accounting · Finance · CMA · CPA · Financial Analysis · Financial Management · Commerce · Microsoft Office,https://wuzzuf.net/jobs/p/3wS4JEJpcZaj-Senior-Accountant-Cairo-Egypt?o=19&l=sp&t=sj&a=cashier|search-v3|hpb
Training & Development Supervisor,LC Waikiki -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Sales/Retail · Training/Instructor · Human Resources (HR) · Training Needs Analysis · Training · Human Resources Development · English · Education · Business Development,https://wuzzuf.net/jobs/p/tS9WztuOOUTI-Training-Development-Supervisor-LC-Waikiki-Cairo-Egypt?o=20&l=sp&t=sj&a=cashier|search-v3|hpb
Store Accountant,Seoudi Supermarket -,"Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Commerce · Finance · Financial Analysis · Accounting · Microsoft Excel,https://wuzzuf.net/jobs/p/uTOU1fv23WiC-Store-Accountant-Seoudi-Supermarket-Giza-Egypt?o=21&l=sp&t=sj&a=cashier|search-v3|hpb
Credit Risk Coordinator,INDEVCO -,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_preferred · Accounting/Finance · Commerce · Accounting · Finance · English · Risk Management · Banking,https://wuzzuf.net/jobs/p/vg1P3F597Rsv-Credit-Risk-Coordinator-INDEVCO-Giza-Egypt?o=22&l=sp&t=sj&a=cashier|search-v3|hpb
Assistant Store Manager - Stradivarius,Azadea Group -,"Madinaty, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Sales/Retail · Fashion · Customer Service · Customer Care · Customer Support · Store Management · Management · Microsoft Office · Sales,https://wuzzuf.net/jobs/p/HMPjXzKVa5bS-Assistant-Store-Manager---Stradivarius-Azadea-Group-Cairo-Egypt?o=23&l=sp&t=sj&a=cashier|search-v3|hpb
Assistant Store Manager - Fashion Brand,Azadea Group -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Sales/Retail · Fashion · Customer Service · Customer Care · Customer Support · Store Management · Management · Microsoft Office · Sales,https://wuzzuf.net/jobs/p/WS2nn8Kj0AOX-Assistant-Store-Manager---Fashion-Brand-Azadea-Group-Cairo-Egypt?o=24&l=sp&t=sj&a=cashier|search-v3|hpb
IT Executive - 6th Of October (Industrial Zone),Aramex International -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology · Installation · Maintenance · Troubleshooting · Technical Support · CCNA · MCSE,https://wuzzuf.net/jobs/p/xgckm2mz0v7N-IT-Executive---6th-Of-October-Industrial-Zone-Aramex-International-Giza-Egypt?o=25&l=sp&t=sj&a=cashier|search-v3|hpb
Accounting Compliance Manager,Confidential -,"Giza, Egypt ",Full TimeManager · 10 - 12 Yrs of Exp · Accounting/Finance · Finance · Accounting · IFRS · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/wGFpCDn80E3m-Accounting-Compliance-Manager-Giza-Egypt?o=26&l=sp&t=sj&a=cashier|search-v3|hpb
Salon Branch Manager,FOUR Beauty Group -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Branch Management · Customer Service · sales skills,https://wuzzuf.net/jobs/p/CXU8uTGGgjmI-Salon-Branch-Manager-FOUR-Beauty-Group-Cairo-Egypt?o=27&l=sp&t=sj&a=cashier|search-v3|hpb
Junior Accountant,Femex Egypt -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial · Reporting · Microsoft Office · Financial Analysis · Financial Reporting · Commerce · Microsoft Office suite,https://wuzzuf.net/jobs/p/X2dnI8zqwKYT-Junior-Accountant-Femex-Egypt-Cairo-Egypt?o=28&l=sp&t=sj&a=cashier|search-v3|hpb
IT Help Desk Specialist,Bingo Global -,"New Nozha, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · CCTV System · Hardware · Installation · Networking · Troubleshooting · Computer Science,https://wuzzuf.net/jobs/p/YHesA1RzMJQ5-IT-Help-Desk-Specialist-Bingo-Global-Cairo-Egypt?o=29&l=sp&t=sj&a=cashier|search-v3|hpb
Finance Executive,Sharaf DG -,"Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Accounting/Finance · Banking · Finance · Accounting · SAP · Commerce,https://wuzzuf.net/jobs/p/HERPeZY5BKmV-Finance-Executive-Sharaf-DG-Giza-Egypt?o=30&l=sp&t=sj&a=cashier|search-v3|hpb
Head Of Finance and Accounting,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · Financial Analysis · Accounting · Accounting Manager · Financial Management · Financial Reporting · Communication · Finance · Financial,https://wuzzuf.net/jobs/p/TbSzz4T1uie8-Head-Of-Finance-and-Accounting-Cairo-Egypt?o=31&l=sp&t=sj&a=cashier|search-v3|hpb
Treasury Accountant,Nozha Group -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · Commerce · Finance · Financial · Financial Analysis · Treasury · ERP,https://wuzzuf.net/jobs/p/0XU0serpoLlk-Treasury-Accountant-Nozha-Group-Cairo-Egypt?o=32&l=sp&t=sj&a=cashier|search-v3|hpb
Payable Accountant,QuadraTech for Information Technology -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Accounting · Accounts Payable · English · Finance · Financial · Collection,https://wuzzuf.net/jobs/p/fWvgC4BvrOEL-Payable-Accountant-QuadraTech-for-Information-Technology-Cairo-Egypt?o=33&l=sp&t=sj&a=cashier|search-v3|hpb
Pharmacies Manager,Premier Services and Recruitment -,"Benghazi, Libya ",Full TimeManager · 10 - 15 Yrs of Exp · Operations/Management · Pharmaceutical · Pharmaceutical · sales skills · Pharmacy · Management · Operations Management,https://wuzzuf.net/jobs/p/rQQjMOBaSyGv-Pharmacies-Manager-Premier-Services-and-Recruitment-Benghazi-Libya?o=34&l=sp&t=sj&a=cashier|search-v3|hpb
Front line ( restaurant ),Section-F -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Hospitality/Hotels/Food Services · Customer Service · Customer Care,https://wuzzuf.net/jobs/p/Vg8xlf3jFL16-Front-line-restaurant-Section-F-Giza-Egypt?o=35&l=sp&t=sj&a=cashier|search-v3|hpb
Accountant,Fajr Center -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Management · Commerce · Microsoft Office,https://wuzzuf.net/jobs/p/jWc9xXCaUrsk-Accountant-Fajr-Center-Cairo-Egypt?o=36&l=sp&t=sj&a=cashier|search-v3|hpb
