job title,company name,location,skills,links
Mechanical Hydraulics Engineer,ITAC -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Manufacturing · Production · CNC · Quality · Computer Skills · Miling,https://wuzzuf.net/jobs/p/CRyrlhIygBCG-Mechanical-Hydraulics-Engineer-ITAC-Cairo-Egypt?o=12&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Junior Mechanical Design Engineer - Cairo,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ","Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · Engineering - Mechanical/Electrical · Creo · Product Design · SOLID WORK · siemence NX, PLM, DFMEA, DFM, DFA, GD&T · CAD · Design · Engineering · English",https://wuzzuf.net/jobs/p/FplmqmkCmHcK-Junior-Mechanical-Design-Engineer---Cairo-Samaya-Electronics-Egypt-LTD-Cairo-Egypt?o=13&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Senior Mechanical Site Engineer,EMS Solutions -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Mechanical Engineering · Mechanical · AutoCAD · Design · Installation · Projects · Management · Construction,https://wuzzuf.net/jobs/p/csWFf2dGRi1w-Senior-Mechanical-Site-Engineer-EMS-Solutions-Giza-Egypt?o=14&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Technical Office Engineer,Delta Capital for Urban Development -,"Kafr Alsheikh, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Mechanical · Engineering · Mechanical Engineering · TO · Residential compounds · Alexandria,https://wuzzuf.net/jobs/p/6q8zIBacz71A-Mechanical-Technical-Office-Engineer-Delta-Capital-for-Urban-Development-Kafr-Alsheikh-Egypt?o=15&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Maintenance Engineer,FlexFilms Egypt -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Maintenance · Mechanical · Engineering · Mechanical Engineering · Mechanical Power Engineering · Mechanical Power · Bearing · Pneumatic,https://wuzzuf.net/jobs/p/kqkqMxrFo8SC-Mechanical-Maintenance-Engineer-FlexFilms-Egypt-Giza-Egypt?o=16&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Engineer,Nahdet Misr Publishing Group -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Maintenance · Mechanical,https://wuzzuf.net/jobs/p/xWz0xqd03txX-Mechanical-Engineer-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=17&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Technical Office Engineer,Major for Construction and Decoration -,"Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Mechanical Engineering · Mechanical Power · HVAC · Plumbing · FF · Shop Drawing · Construction · Technical Office,https://wuzzuf.net/jobs/p/LrldN9n19n1L-Mechanical-Technical-Office-Engineer-Major-for-Construction-and-Decoration-Cairo-Egypt?o=18&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Technical Office Mechanical Engineer,CSI -,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Commissioning · Mechanical Engineering · Engineering · AutoCAD · HVAC · Testing,https://wuzzuf.net/jobs/p/SjNDPGRD7rW6-Technical-Office-Mechanical-Engineer-CSI-Cairo-Egypt?o=19&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Engineer - Madinaty,Talaat Moustafa Group -,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Maintenance,https://wuzzuf.net/jobs/p/h3bD7Z8ousVc-Mechanical-Engineer---Madinaty-Talaat-Moustafa-Group-Cairo-Egypt?o=20&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Senior Project Engineer - Mechanical,INTECH -,"Mansoura, Dakahlia, Egypt ",Full TimeExperienced · 6 - 8 Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Design · Project Management,https://wuzzuf.net/jobs/p/0dAuNdMvUSmq-Senior-Project-Engineer---Mechanical-INTECH-Dakahlia-Egypt?o=21&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
