job title,company name,location,skills,links
Math's Editor,Longman Egypt -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Writing/Editorial · Education/Teaching · Maths · Writing · Computer Skills · English · english maths · Chemistry,https://wuzzuf.net/jobs/p/bZGrEyJADckp-Maths-Editor-Longman-Egypt-Giza-Egypt?o=13&l=sp&t=sj&a=math teacher|search-v3|hpb
Math Head of Department - American School,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 15 Yrs of Exp · Education/Teaching · American school · Education · HOD · Math · School · Teaching · English · Management,https://wuzzuf.net/jobs/p/BAiQsEPjjQSk-Math-Head-of-Department---American-School-Cairo-Egypt?o=14&l=sp&t=sj&a=math teacher|search-v3|hpb
Native Homeroom Teacher - Year 1,British Modern School -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · Homeroom · Teaching · Class Management · UK Cambridge Curriculum · Mathematics · English Teaching · English · International Schools,https://wuzzuf.net/jobs/p/UHTZt0pLpzvJ-Native-Homeroom-Teacher---Year-1-British-Modern-School-Cairo-Egypt?o=15&l=sp&t=sj&a=math teacher|search-v3|hpb
Teacher - all subject for Next Year,Nile international college -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Education/Teaching · International · Teaching,https://wuzzuf.net/jobs/p/PVyOEartovHf-Teacher---all-subject-for-Next-Year-Nile-international-college-Cairo-Egypt?o=16&l=sp&t=sj&a=math teacher|search-v3|hpb
Foreign Homeroom Teacher (Primary),Eastlands International School -,"Shorouk City, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · Homeroom · foreign · Education · Teaching · Communication skills · International Schools · Teacher · PGCE,https://wuzzuf.net/jobs/p/HVJk8hsPumTj-Foreign-Homeroom-Teacher-Primary-Eastlands-International-School-Cairo-Egypt?o=17&l=sp&t=sj&a=math teacher|search-v3|hpb
Foreign Homeroom Teacher,Eastlands International School -,"Shorouk City, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · foreign · Homeroom · International Schools · Education · Communication skills · Teacher · Teaching,https://wuzzuf.net/jobs/p/fYhVQSPTsyPa-Foreign-Homeroom-Teacher-Eastlands-International-School-Cairo-Egypt?o=18&l=sp&t=sj&a=math teacher|search-v3|hpb
Math Teacher,Eltakamol -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Education/Teaching · Education · Mathematics · Math · Schools · Teaching,https://wuzzuf.net/jobs/p/LrRuNjDkxeTK-Math-Teacher-Eltakamol-Cairo-Egypt?o=19&l=sp&t=sj&a=math teacher|search-v3|hpb
Teaching Assistant (British Curriculum Experience),GEMS Education -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Teaching · Mathematics · Math · Education · Learning · British Curriculum · English,https://wuzzuf.net/jobs/p/XuL7bbXQCqAR-Teaching-Assistant-British-Curriculum-Experience-GEMS-Education-Cairo-Egypt?o=20&l=sp&t=sj&a=math teacher|search-v3|hpb
UC Mas Instructor,UC Mas Zagazig -,"Zagazig, Sharqia, Egypt ",Full TimePart TimeEntry Level · females_only · Education/Teaching · Training/Instructor · UC Mas · Education · Math · Mathematics · Teaching · Maths,https://wuzzuf.net/jobs/p/WiGu7macJi7E-UC-Mas-Instructor-UC-Mas-Zagazig-Sharqia-Egypt?o=21&l=sp&t=sj&a=math teacher|search-v3|hpb
Head Of Department / All Subjects,Creatives International Schools ( CIS ) -,"Sharqia, Egypt ",Full TimeManager · 9+ Yrs of Exp · Operations/Management · Education/Teaching · Operations Management · Teaching · Education · Head of Department · Maths · Science · Artwork,https://wuzzuf.net/jobs/p/pL8VDLH3CPb2-Head-Of-Department-All-Subjects-Creatives-International-Schools-CIS-Sharqia-Egypt?o=22&l=sp&t=sj&a=math teacher|search-v3|hpb
Head of Mathematics Department - UAE,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeSenior Management · 6+ Yrs of Exp · Education/Teaching · Education · Mathematics · Maths · Teaching,https://wuzzuf.net/jobs/p/jdQWijB0g2dG-Head-of-Mathematics-Department---UAE-Liwa-Education-Al-Ain-United-Arab-Emirates?o=23&l=sp&t=sj&a=math teacher|search-v3|hpb
English Assistant,Europa Schule Neu Kairo -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · English · Teaching · English Teaching · English Education,https://wuzzuf.net/jobs/p/1CL3spdsLM0J-English-Assistant-Europa-Schule-Neu-Kairo-Cairo-Egypt?o=24&l=sp&t=sj&a=math teacher|search-v3|hpb
Head of Departments,New Generation International school ( Sadat City) -,"Shebin Alkom, Monufya, Egypt ",Full TimePart TimeExperienced · 3+ Yrs of Exp · Operations/Management · Education/Teaching · Communication skills · Education · English · Teaching · phd · diploma · bachelor degree · HOD,https://wuzzuf.net/jobs/p/7cOXwMrPYY2s-Head-of-Departments-New-Generation-International-school-Sadat-City-Monufya-Egypt?o=25&l=sp&t=sj&a=math teacher|search-v3|hpb
