job title,company name,location,skills,links
Homeroom Teacher,Confidential -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Education/Teaching · Computer Skills · Educational · Teaching · Homeroom · learning,https://wuzzuf.net/jobs/p/axyvobLIHHUE-Homeroom-Teacher-Cairo-Egypt?o=16&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
French Teacher Assistant,Confidential -,"Glim, Alexandria, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Education/Teaching · french · Education · French Teaching · English · Teaching · Classroom Management,https://wuzzuf.net/jobs/p/hxQMQVelwF8x-French-Teacher-Assistant-Alexandria-Egypt?o=17&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Classroom Teacher/CoTeacher,Edu-Zone -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · Education/Teaching · Training/Instructor · Nursery · Education · School · Teaching,https://wuzzuf.net/jobs/p/WzhxukyaR6VW-Classroom-TeacherCoTeacher-Edu-Zone-Giza-Egypt?o=18&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Science Teacher - New Cairo,Egyptian British International School -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · R&D/Science · Education/Teaching · Education · Teaching · Communication Skills · Science · International School,https://wuzzuf.net/jobs/p/LsoRhDS4RJXo-Science-Teacher---New-Cairo-Egyptian-British-International-School-Cairo-Egypt?o=19&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Secondary Teacher - ICT - AY 22/23,GEMS Education -,"Rehab City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Education/Teaching · Education · ICT · Computer Science · Teaching · Teacher · UK Curriculum · PGCE,https://wuzzuf.net/jobs/p/jFqVZywu7X3X-Secondary-Teacher---ICT---AY-2223-GEMS-Education-Cairo-Egypt?o=20&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Science Teacher - British Section,Smart Language School -,"Tanta, Gharbia, Egypt ",Full TimePart TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · Education/Teaching · Communication · Education · Science · Teacher · Teaching,https://wuzzuf.net/jobs/p/D8RajDj8wN4U-Science-Teacher---British-Section-Smart-Language-School-Gharbia-Egypt?o=21&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
English Teacher - British Section,Smart Language School -,"Tanta, Gharbia, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor · Communication skills · Education · Educational · English · English Teaching · Skills · Teacher · Teaching,https://wuzzuf.net/jobs/p/HDs7rZqzUml1-English-Teacher---British-Section-Smart-Language-School-Gharbia-Egypt?o=22&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
English Teacher,Egyptian British International School -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Education · Teaching · Communication Skills · Science · English Teaching · English,https://wuzzuf.net/jobs/p/0Ht7mB20zsSg-English-Teacher-Egyptian-British-International-School-Cairo-Egypt?o=23&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Music Teacher - 10th Of Ramadan,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Education/Teaching · Teaching · Music Teaching · Education · Communication Skills · Music · Instructor,https://wuzzuf.net/jobs/p/vOt9XttpSv3f-Music-Teacher---10th-Of-Ramadan-El-Massria-Integrated-Schools-Sharqia-Egypt?o=24&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Primary English & Math Teacher,Europa Schule Neu Kairo -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Teaching · Bachelor · English Teaching · Math Teaching · Education,https://wuzzuf.net/jobs/p/sYgnMhELmYxw-Primary-English-Math-Teacher-Europa-Schule-Neu-Kairo-Cairo-Egypt?o=25&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Teachers (Mathematics In Arabic) - Saudi Curricula,Almotahida Education -,"Mokattam, Cairo, Egypt ",Part TimeFreelance / ProjectShift BasedExperienced · 3 - 5 Yrs of Exp · Education/Teaching · Communication skills · Maths · Teaching · Education · English · Arabic,https://wuzzuf.net/jobs/p/FSGsETRSzDlC-Teachers-Mathematics-In-Arabic---Saudi-Curricula-Almotahida-Education-Cairo-Egypt?o=26&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
IGCSE English Teacher,Tyro -,"Cairo, Egypt ",Freelance / ProjectEntry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor · Education · English · English Teaching · IGCSE · Instructor · Online Teaching · Teaching,https://wuzzuf.net/jobs/p/PjH1fGouFTJK-IGCSE-English-Teacher-Tyro-Cairo-Egypt?o=27&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
All Subject Teacher,Creatives International Schools ( CIS ) -,"Sharqia, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Education/Teaching · Curriculum Development · Education · Teaching · English · Maths · Science · Artwork,https://wuzzuf.net/jobs/p/HonuZL1wpvH7-All-Subject-Teacher-Creatives-International-Schools-CIS-Sharqia-Egypt?o=28&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Pre-School German Teacher,Leap Development Hub -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · females_only · Education/Teaching · Education · Early Childhood Education · Nursery · Teaching · School · German · English,https://wuzzuf.net/jobs/p/trIolxeMoUuN-Pre-School-German-Teacher-Leap-Development-Hub-Cairo-Egypt?o=29&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Science Teacher - Alexandria,Egyptian British International School -,"Alexandria, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · R&D/Science · Education/Teaching · Education · Teaching · Science · Biology · Science Teaching · English,https://wuzzuf.net/jobs/p/uTc3Jm66krpb-Science-Teacher---Alexandria-Egyptian-British-International-School-Alexandria-Egypt?o=30&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
English Teacher,Windrose Academy -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Education/Teaching · Teaching · Education · School · English · Microsoft Office · English Teaching,https://wuzzuf.net/jobs/p/vzxlRWoZmoCy-English-Teacher-Windrose-Academy-Cairo-Egypt?o=31&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
English Teacher - Cairo ( Full Time).,Convrld -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Teaching · English · Education · Language Teaching · English Teaching · Online Teaching,https://wuzzuf.net/jobs/p/3U6GYBTUFHdk-English-Teacher---Cairo-Full-Time-Convrld-Giza-Egypt?o=32&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Ict Teacher - Alexandria,Egyptian British International School -,"Smouha, Alexandria, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Teaching · Playschool · PYP · IPC · IEYC · Information Technology (IT),https://wuzzuf.net/jobs/p/3AArZoPVxxi5-Ict-Teacher---Alexandria-Egyptian-British-International-School-Alexandria-Egypt?o=33&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Chemistry & Physics Teacher (Year 9),British Modern School -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · R&D/Science · Education/Teaching · Chemistry · Education · Teaching · Physics · English · Communication Skills · Science,https://wuzzuf.net/jobs/p/He2BWnjuqZet-Chemistry-Physics-Teacher-Year-9-British-Modern-School-Cairo-Egypt?o=34&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
German Teacher,The International School of Elite Education -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · Teaching · Education · german · German Teaching,https://wuzzuf.net/jobs/p/Bgrzq7ur1wWS-German-Teacher-The-International-School-of-Elite-Education-Cairo-Egypt?o=35&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Preschool Montessori English Teacher (Mivida Branch),Trillium Preschool -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Education/Teaching · Education · English · Preschool · Teaching · Communication skills,https://wuzzuf.net/jobs/p/WdgycULjVWpU-Preschool-Montessori-English-Teacher-Mivida-Branch-Trillium-Preschool-Cairo-Egypt?o=36&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Psychology Teacher - HS American Curriculum,Modern American School of Egypt 2000 -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Education/Teaching · Psychology · Sociology · Education · Teaching · Social Studies · School · English · Child Psychology,https://wuzzuf.net/jobs/p/6ewPInMaGLKB-Psychology-Teacher---HS-American-Curriculum-Modern-American-School-of-Egypt-2000-Cairo-Egypt?o=37&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Pre-School English Teacher,Leap Development Hub -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Education/Teaching · Education · Teaching · Nursery · English · Nurseries · Pre School · Schools,https://wuzzuf.net/jobs/p/qMvd2vOAW8XV-Pre-School-English-Teacher-Leap-Development-Hub-Cairo-Egypt?o=38&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Music Teacher - Alexandria,Egyptian British International School -,"Alexandria, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · Education/Teaching · Music · Education · Teaching · English,https://wuzzuf.net/jobs/p/enTnfjb4lS4x-Music-Teacher---Alexandria-Egyptian-British-International-School-Alexandria-Egypt?o=39&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
